Text,IsSpam
"FÉLICITATIONS ! Vous avez gagné 1000€. Cliquez ici maintenant !",true
"Offre limitée : iPhone gratuit pour les 100 premiers inscrits",true
"Votre compte a été compromis. Vérifiez vos infos ici : bit.ly/xxx",true
"Gagnez de l'argent depuis chez vous, 500€/jour garantis",true
"Vous avez été sélectionné pour un remboursement fiscal. Agissez vite",true
"URGENT : votre colis est bloqué, payez les frais de douane maintenant",true
"Investissez dans le Bitcoin, rendement 300% garanti",true
"Médicament miracle, perdez 10kg en une semaine sans effort",true
"Votre carte bancaire sera bloquée si vous ne confirmez pas vos données",true
"Prix spécial VIP : montres de luxe à -90%, offre expire dans 1h",true
"Bonjour, voici le compte-rendu de la réunion de ce matin",false
"Rappel : la formation Azure aura lieu jeudi à 14h en salle 3",false
"Merci pour votre commande, votre colis sera livré demain",false
"Votre facture du mois de janvier est disponible dans votre espace client",false
"Bienvenue dans l'équipe ! Voici votre accès au portail RH",false
"Le rapport trimestriel est disponible en pièce jointe",false
"Votre rendez-vous médical est confirmé pour le 15 à 10h30",false
"Mise à jour disponible pour votre application, pensez à installer",false
"Votre inscription à la newsletter a bien été prise en compte",false
"Réunion annulée, nous vous recontacterons pour une nouvelle date",false
